鄉鎮市區,交易標的,土地區段位置或建物區門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價每平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號
文山區,房地(土地+建物)+車位,臺北市文山區政大二街171巷31~60號,71.42,住,,,1050724,土地1建物1車位1,八層,八層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,0920114,133.85,3,2,2,有,有,13600000,101606,坡道平面,0.0,0,含增建或未登記建物。車位面積無法概算。,RPVOMLTKRHLFFAA88CA
中正區,房地(土地+建物),臺北市中正區羅斯福路三段84巷1~30號,18.2,住,,,1050829,土地1建物1車位0,一層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,74.08,0,2,1,有,無,19700000,265929,,0.0,0,,RPPNMLPLRHLFFAA87CA
文山區,房地(土地+建物),臺北市文山區興隆路一段55巷27弄1~30號,43.92,住,,,1050731,土地1建物1車位0,二層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,109.87,3,2,2,有,無,12550000,114226,,0.0,0,,RPXNMLNLRHLFFAA48CA
中正區,房地(土地+建物),臺北市中正區和平西路二段61~90號,9.65,住,,,1050810,土地2建物1車位0,三層,七層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0690416,50.019999999999996,1,1,1,有,無,9800000,195922,,0.0,0,,RPSNMLOKIILFFAA17CA
萬華區,房地(土地+建物),臺北市萬華區中華路一段76巷1~30號,22.4,商,,,1050615,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770917,81.38,3,2,2,有,無,15800000,194151,,0.0,0,含增建或未登記建物。,RPXNMLKLRHLFFBA28CA
大同區,房地(土地+建物),臺北市大同區南京西路151~180號,2.23,商,,,1050907,土地1建物1車位0,五層,十一層,套房(1房1廳1衛),商業用,鋼筋混凝土造,,23.01,0,0,0,無,有,3150000,136897,,0.0,0,,RPROMLTLRHLFFBA68CA
萬華區,土地,直興段二小段601~630地號,3.0,商,,,1050910,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3322200,1107400,,0.0,0,,RPXTMLPJIILFFBA38CA
內湖區,房地(土地+建物),臺北市內湖區行善路25巷40弄1~30號,49.24,住,,,1050630,土地1建物1車位0,一層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0860526,129.84,3,2,2,有,有,17000000,130930,,0.0,0,含增建或未登記建物。,RPXOMLKLRHLFFCA48CA
內湖區,房地(土地+建物)+車位,臺北市內湖區內湖路二段253巷31~60號,26.86,住,,,1050820,土地1建物1車位1,二層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971008,156.72,3,2,2,有,有,27230000,173749,坡道平面,37.46,0,價格含增建,RPSPMLKLRHLFFCA08CA
內湖區,房地(土地+建物)+車位,臺北市內湖區安泰街114巷1~30號,45.64,住,,,1050816,土地1建物1車位2,四層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1021128,279.71000000000004,4,2,2,有,有,28200000,129167,坡道平面,83.84,2900000,,RPPNMLLLRHLFFCA67CA
中山區,房地(土地+建物)+車位,臺北市中山區伊通街121~150號,7.22,其他,,,1050824,土地1建物2車位1,六層,十一層,套房(1房1廳1衛),住家用,鋼筋混凝土造,0911029,60.010000000000005,1,0,1,有,有,9929998,165472,塔式車位,20.38,0,,RPTNMLLLRHLFFCA08CA
內湖區,房地(土地+建物),臺北市內湖區江南街71巷16弄31~60號,31.46,住,,,1050608,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0721205,121.77,3,1,2,有,無,7100000,58307,,0.0,0,權利人2人親友、員工或其他特殊關係間之交易。,RPPPMLLLRHLFFCA87CA
中山區,房地(土地+建物)+車位,臺北市中山區樂群二路271~300號,9.32,其他,,,1050805,土地1建物1車位1,三層,十一層,辦公商業大樓,商業用,鋼筋混凝土造,0970603,70.77,1,1,1,有,有,13000000,183694,坡道機械,18.98,0,,RPWPMLLLRHLFFCA58CA
中山區,房地(土地+建物),臺北市中山區民權東路二段1~30號,11.72,商,,,1050825,土地1建物1車位0,八層,十二層,辦公商業大樓,住家用,鋼筋混凝土造,0730406,125.98,0,0,0,無,有,19500000,154786,,0.0,0,含增建或未登記建物。,RPWQMLLLRHLFFCA68CA
中山區,房地(土地+建物),臺北市中山區明水路672巷31~60號,21.09,商,,,1050723,土地1建物1車位0,七層,七層,華廈(10層含以下有電梯),商業用,鋼骨鋼筋混凝土造,0930227,72.41,3,2,2,有,無,20060000,277034,,0.0,0,,RPXNMLMLRHLFFCA58CA
內湖區,房地(土地+建物)+車位,臺北市內湖區新明路498巷14弄1~30號,19.42,住,,,1050821,土地1建物1車位1,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1001123,116.53999999999999,2,2,1,有,有,16800000,144157,塔式車位,24.11,0,,RPVPMLMLRHLFFCA58CA
中山區,車位,臺北市中山區長安東路二段151~180號,0.34,商,,,1050901,土地0建物0車位1,地下三層,十四層,其他,停車空間,鋼筋混凝土造,0900326,9.809999999999999,0,0,0,有,有,880000,,升降機械,9.81,880000,,RPPOMLNLRHLFFCA97CA
